,ts,record_id,market_index,peg_multiplier_before,base_asset_reserve_before,quote_asset_reserve_before,sqrt_k_before,peg_multiplier_after,base_asset_reserve_after,quote_asset_reserve_after,sqrt_k_after,base_asset_amount_long,base_asset_amount_short,base_asset_amount,open_interest,total_fee,total_fee_minus_distributions,adjustment_cost
2021-12-25 04:21:40.358355,2021-12-24 23:17:43-05:00,168,3,63300,726005595845529555,1115684326566747569,899996146816534959,63310,726005595845529555,1115684326566747569,899996146816534959,217806351043052200,14640233609542214,203166117433509986,164,71621811366,48746639462,243947647
2021-12-25 04:46:32.281424,2021-12-24 23:28:21-05:00,169,3,63310,727264624523860113,1113752872023594046,899996146816534959,63500,727264624523860113,1113752872023594046,899996146816534959,216559323647436961,14652234892257533,201907088755179428,164,71635835181,44162355625,4598307652
2021-12-25 04:46:32.281424,2021-12-24 23:30:28-05:00,170,3,63500,728091038727443181,1112488715285268514,899996146816534959,63501,728091038727443181,1112488715285268514,899996146816534959,215938731494513553,14858056942917193,201080674551596360,164,71644444575,44146889815,24075204
2021-12-25 04:46:32.281424,2021-12-24 23:31:46-05:00,171,3,63501,728181025240388043,1112351237135318119,899996146816534959,63502,728181025240388043,1112351237135318119,899996146816534959,215848744981568691,14858056942917193,200990688038651498,164,71645317575,44123701359,24061456
2021-12-25 04:46:32.281424,2021-12-24 23:32:01-05:00,172,3,63502,729051465200667188,1111023162214843166,899996146816534959,63503,729051465200667188,1111023162214843166,899996146816534959,215219279424899777,15099031346527424,200120248078372353,165,71653751116,44108206252,23928648
2021-12-25 04:46:32.281424,2021-12-24 23:32:56-05:00,173,3,63503,729118205966463495,1110921463291325867,899996146816534959,63504,729118205966463495,1110921463291325867,899996146816534959,215119527092788086,15066019780212040,200053507312576046,164,71656660669,44087197327,23918478
2021-12-25 04:46:32.281424,2021-12-24 23:33:43-05:00,174,3,63504,729248037584455828,1110723680474495429,899996146816534959,63505,729248037584455828,1110723680474495429,899996146816534959,214989695474795753,15066019780212040,199923675694583713,164,71657916669,44064554627,23898700
2021-12-25 04:46:32.281424,2021-12-24 23:33:58-05:00,175,3,63505,729287946726274432,1110662897858953345,899996146816534959,63506,729287946726274432,1110662897858953345,899996146816534959,214949786332977149,15066019780212040,199883766552765109,164,71658302669,44041048005,23892622
2021-12-25 04:46:32.281424,2021-12-24 23:34:52-05:00,176,3,63506,729496293763666513,1110345688126308448,899996146816534959,63507,729496293763666513,1110345688126308448,899996146816534959,214741439295585068,15066019780212040,199675419515373028,163,71660344196,44019228632,23860900
2021-12-25 07:10:24.137983,2021-12-25 02:09:25-05:00,177,3,63507,731586945483448539,1107172659770943484,899996146816534959,63508,731586945483448539,1107172659770943484,899996146816534959,212547417402696323,14962649607105321,197584767795591002,163,72022760607,43697034703,23543598
2021-12-25 07:10:24.137983,2021-12-25 02:10:19-05:00,178,3,63508,731586945483448539,1107172659770943484,899996146816534959,63510,731586945483448539,1107172659770943484,899996146816534959,212547417402696323,14962649607105321,197584767795591002,163,72022760607,43649947507,47087196
2021-12-25 07:25:55.999410,2021-12-25 02:10:48-05:00,179,3,63510,731586945483448539,1107172659770943484,899996146816534959,63550,731586945483448539,1107172659770943484,899996146816534959,212547417402696323,14962649607105321,197584767795591002,163,72022760607,42708203587,941743920
